numeroProcesso,numeroRegistro,nomeValorMobiliario,valorTotalInicial,valorTotalFinal,dataOferta,nomeTipoRequerimento,status,serie_nome,quantidadeAtivos,valorNominal,valorTotalLote,taxaRemuneracao,dataEmissao,dataVencimento,especie,avaliacaoRisco,remuneracaoFinal,amortizacao,incentivado,infraLei14801,resgateAntecipado
SRE/1229/2025,CVM/SRE/AUT/DEB/PRI/2025/352,Debêntures,"305.000.000,0000","305.000.000,0000",08/05/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,2ª série de debentures,"240.000,0000","1.000,0000","240.000.000,0000","CDI + 1,85% a.a.",30/04/2025,30/04/2027,Garantia Real,,"Taxa DI acrescida exponencialmente de spread (sobretaxa) equivalente a 1,85% ao ano, base 252",No Vencimento,Não,Não,Não
SRE/1205/2025,CVM/SRE/AUT/DEB/PRI/2025/350,Debêntures,"200.000.000,0000","200.000.000,0000",08/05/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures Institucionais,"200.000,0000","1.000,0000","200.000.000,0000","CDI + 1,30% a.a.",07/05/2025,07/05/2027,Quirografária,N/A,"Sobre o Valor Nominal Unitário ou o saldo do Valor Nominal Unitário das Debêntures, conforme o caso, incidirão juros remuneratórios correspondentes à variação acumulada de 100% (cem por cento) das taxas médias diárias dos DI – Depósitos Interfinanceiros de um dia, “over extra-grupo”, expressas na forma percentual ao ano, base 252 (duzentos e cinquenta e dois) Dias Úteis, calculadas e divulgadas diariamente pela B3 (“Taxa DI”), acrescida de um spread correspondente a 1,30% (um inteiro e trinta centésimos por cento) ao ano, base 252 (duzentos e cinquenta e dois) Dias Úteis.","O saldo do Valor Nominal Unitário das Debêntures será amortizado integralmente, em uma única parcela, na Data de Vencimento das Debêntures.",Não,Não,Sim
SRE/1146/2025,CVM/SRE/AUT/DEB/PRI/2025/349,Debêntures,"800.000.000,0000","800.000.000,0000",08/05/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Debêntures Série Única,"800.000,0000","1.000,0000","800.000.000,0000","CDI + 2,10% a.a. (Exp. 252 du)",23/04/2025,23/04/2031,Quirografária,,"CDI + 2,10% a.a. (Exp. 252 du)","Anual, a partir do 5º ano contado da Data de Emissão (inclusive)",Não,Não,Sim
SRE/1080/2025,CVM/SRE/AUT/DEB/PRI/2025/348,Debêntures,"1.000.000.000,0000","1.000.000.000,0000",07/05/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Série Única,"1.000.000,0000","1.000,0000","1.000.000.000,0000","DI+0,67% a.a., b. 2525 d.u.",16/04/2025,16/04/2032,Quirografária,AAA,"DI+0,67% a.a., b. 2525 d.u.","Única parcela no vencimento, bullet",Não,Não,Sim
SRE/1223/2025,CVM/SRE/AUT/DEB/PRI/2025/343,Debêntures,"400.000.000,0000","0,0000",05/05/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures Primeira Série,,,,,,,,,,,,,
SRE/1223/2025,CVM/SRE/AUT/DEB/PRI/2025/344,Debêntures,"400.000.000,0000","0,0000",05/05/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures Segunda Série,,,,,,,,,,,,,
SRE/1223/2025,CVM/SRE/AUT/DEB/PRI/2025/345,Debêntures,"400.000.000,0000","0,0000",05/05/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures Terceira Série,,,,,,,,,,,,,
SRE/1222/2025,CVM/SRE/AUT/DEB/PRI/2025/340,Debêntures,"650.000.000,0000","0,0000",05/05/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures Primeira Série,,,,,,,,,,,,,
SRE/1222/2025,CVM/SRE/AUT/DEB/PRI/2025/341,Debêntures,"650.000.000,0000","0,0000",05/05/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures Segunda Série,,,,,,,,,,,,,
SRE/1222/2025,CVM/SRE/AUT/DEB/PRI/2025/342,Debêntures,"650.000.000,0000","0,0000",05/05/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures Terceira Série,,,,,,,,,,,,,
SRE/1221/2025,CVM/SRE/AUT/DEB/PRI/2025/337,Debêntures,"250.000.000,0000","0,0000",05/05/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures Primeira Série,,,,,,,,,,,,,
SRE/1221/2025,CVM/SRE/AUT/DEB/PRI/2025/338,Debêntures,"250.000.000,0000","0,0000",05/05/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures Segunda Série,,,,,,,,,,,,,
SRE/1221/2025,CVM/SRE/AUT/DEB/PRI/2025/339,Debêntures,"250.000.000,0000","0,0000",05/05/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures Terceira Série,,,,,,,,,,,,,
SRE/1216/2025,CVM/SRE/AUT/DEB/PRI/2025/336,Debêntures,"185.060.000,0000","0,0000",02/05/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Oferta Encerrada,Série Única,,,,,,,,,,,,,
SRE/1196/2025,CVM/SRE/AUT/DEB/PRI/2025/334,Debêntures,"85.000.000,0000","0,0000",30/04/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Registro Concedido,1ª Série,,,,,,,,,,,,,
SRE/1196/2025,CVM/SRE/AUT/DEB/PRI/2025/335,Debêntures,"85.000.000,0000","0,0000",30/04/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Registro Concedido,2ª Série,,,,,,,,,,,,,
SRE/1097/2025,CVM/SRE/AUT/DEB/PRI/2025/333,Debêntures,"80.000.000,0000","80.000.000,0000",29/04/2025,OPD Aut Profissional - com bookbuilding,Registro Concedido,Debêntures Série Única,"80.000,0000","1.000,0000","80.000.000,0000","CDI + 3,50% a.a.",28/04/2025,30/04/2029,Quirografária,N/A,"CDI + 3,50% a.a.","Valor Nominal Unitário Atualizado das Debêntures ou saldo do Valor Nominal Unitário Atualizado das Debêntures, conforme o caso, será amortizado em parcelas mensais, a partir do 12º (décimo segundo) mês contado da Data de Emissão (exclusive), sendo o primeiro pagamento em 28 de maio de 2026 e o último na Data de Vencimento.",Não,Não,Não
SRE/1188/2025,CVM/SRE/AUT/DEB/PRI/2025/332,Debêntures,"11.000.000,0000","0,0000",29/04/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Oferta Encerrada,Série Única,,,,,,,,,,,,,
SRE/1131/2025,CVM/SRE/AUT/DEB/PRI/2025/331,Debêntures,"50.000.000,0000","50.000.000,0000",29/04/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,1ª Série,"50.000,0000","1.000,0000","50.000.000,0000","CDI+2,90%",28/04/2025,28/04/2030,Quirografária,N/A,"Sobre o Valor Nominal Unitário ou o saldo do Valor Nominal Unitário das Debêntures, conforme o caso, incidirão juros remuneratórios correspondentes à variação acumulada de 100% das taxas médias diárias do DI – Depósito Interfinanceiro de um dia, “over extra-grupo”, expressas na forma percentual ao ano, base 252 Dias Úteis, calculadas e divulgadas diariamente pela B3, acrescida de spread (sobretaxa) de 2,90% ao ano, base 252 Dias Úteis.","Amortização semestral, com primeiro pagamento no 24º mês após a data de emissão",Não,Não,Sim
SRE/1236/2025,CVM/SRE/AUT/DEB/PRI/2025/346,Debêntures,"1.000.000.000,0000","0,0000",25/04/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures - 1a série,,,,,,,,,,,,,
SRE/1236/2025,CVM/SRE/AUT/DEB/PRI/2025/347,Debêntures,"1.000.000.000,0000","0,0000",25/04/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures - 2a série,,,,,,,,,,,,,
SRE/1062/2025,CVM/SRE/AUT/DEB/PRI/2025/327,Debêntures,"1.020.915.000,0000","1.020.915.000,0000",24/04/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures - 1ª série,"758.394,0000","1.000,0000","758.394.000,0000","CDI + 3,27% a.a. (exp 252)",20/04/2025,20/04/2031,Garantia Real,n.a.,"CDI + 3,27% a.a. (exp 252)","O saldo do Valor Nominal Unitário das Debêntures da Primeira Série será amortizado em 20 (vinte) parcelas trimestrais e consecutivas, sendo o primeiro pagamento devido em 20 de julho de 2026",Não,Não,Sim
SRE/1062/2025,CVM/SRE/AUT/DEB/PRI/2025/328,Debêntures,"1.020.915.000,0000","1.020.915.000,0000",24/04/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures - 2ª série,"262.521,0000","1.000,0000","262.521.000,0000","CDI + 2,45% a.a. (exp 252)",14/04/2025,20/04/2031,Garantia Real,n.a.,"CDI + 2,45% a.a. (exp 252)","O saldo do Valor Nominal Unitário das Debêntures da Primeira Série será amortizado em 20 (vinte) parcelas trimestrais e consecutivas, sendo o primeiro pagamento devido em 20 de julho de 2026",Não,Não,Sim
SRE/1138/2025,CVM/SRE/AUT/DEB/PRI/2025/326,Debêntures,"250.000.000,0000","250.000.000,0000",24/04/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures Simples não conversíveis em ações,"250.000,0000","1.000,0000","250.000.000,0000","DI + 1,50% a.a.",15/04/2025,15/04/2030,Garantia Real,Será atribuída em até 30 dias após Emissão,"DI + 1,50% a.a.","Semestral, a partir de 15/10/2027, inclusive.",Não,Não,Sim
SRE/0902/2025,CVM/SRE/AUT/DEB/PRI/2025/325,Debêntures,"700.000.000,0000","700.000.000,0000",24/04/2025,OPD Aut Público em Geral ou Qualificado - com bookbuilding,Oferta Encerrada,Debêntures - Série Única,"700.000,0000","1.000,0000","700.000.000,0000","13,5966%",25/04/2025,25/04/2032,Quirografária,Standard and Poor's,"13,5966% A.A.",No vencimento (bullet),Sim,Não,Sim
SRE/0929/2025,CVM/SRE/AUT/DEB/PRI/2025/324,Debêntures,"700.000.000,0000","700.000.000,0000",24/04/2025,OPD Aut Público em Geral ou Qualificado - com bookbuilding,Oferta Encerrada,Série Única - 16ª Emissão,"700.000,0000","1.000,0000","700.000.000,0000","13,5966% a.a.",25/04/2025,25/04/2032,Quirografária,S&P,"13,5966% a.a.",No vencimento (bullet),Sim,Não,Sim
SRE/0903/2025,CVM/SRE/AUT/DEB/PRI/2025/323,Debêntures,"700.000.000,0000","700.000.000,0000",24/04/2025,OPD Aut Público em Geral ou Qualificado - com bookbuilding,Oferta Encerrada,20ª Emissão,"700.000,0000","1.000,0000","700.000.000,0000","13,5966% a.a.",25/04/2025,25/04/2032,Quirografária,Standard and Poor's,"13,5966% a.a.",No vencimento (bullet),Sim,Não,Sim
SRE/1129/2025,CVM/SRE/AUT/DEB/PRI/2025/322,Debêntures,"308.276.000,0000","0,0000",23/04/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Oferta Encerrada,debêntures,,,,,,,,,,,,,
SRE/0817/2025,CVM/SRE/AUT/DEB/PRI/2025/319,Debêntures,"625.000.000,0000","625.000.000,0000",17/04/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Debêntures,"100.000,0000","1.000,0000","125.000.000,0000","CDI + 2,30% a.a.",15/04/2025,15/04/2030,Garantia Real,A+,"CDI + 2,30% a.a.","mensal, a partir da 24º mês",Não,Não,Sim
SRE/0817/2025,CVM/SRE/AUT/DEB/PRI/2025/320,Debêntures,"625.000.000,0000","625.000.000,0000",17/04/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Debêntures,"264.000,0000","1.000,0000","330.000.000,0000","IPCA + 9,9878% a.a.",15/04/2025,15/04/2032,Garantia Real,A+,"IPCA + 9,9878% a.a.","parcelas semestrais, a partir do 36º mês",Sim,Não,Sim
SRE/0817/2025,CVM/SRE/AUT/DEB/PRI/2025/321,Debêntures,"625.000.000,0000","625.000.000,0000",17/04/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Debêntures,"136.000,0000","1.000,0000","170.000.000,0000","IPCA + 10,6573% a.a.",15/04/2025,15/04/2037,Garantia Real,A+,"IPCA + 10,6573%","semestral, a partir do 36º mês",Sim,Não,Sim
SRE/1038/2025,CVM/SRE/AUT/DEB/PRI/2025/318,Debêntures,"220.000.000,0000","220.000.000,0000",17/04/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures,"220.000,0000","1.000,0000","220.000.000,0000","CDI+2,80%",10/04/2025,10/04/2030,Garantia Real,,,"Semestral, a partir do 18º mês.",Não,Não,Sim
SRE/1087/2025,CVM/SRE/AUT/DEB/PRI/2025/329,Debêntures,"850.000.000,0000","850.000.000,0000",16/04/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures,"850.000,0000","1.000,0000","850.000.000,0000","CDI + 1,00%",15/04/2025,18/11/2032,Garantia Real,Não há,"CDI + 1,00%","Amortização semestral em 10 (dez) parcelas, sendo que a primeira parcela será devida em 18 de maio de 2028, e as demais parcelas serão devidas em cada uma das respectivas datas de amortização das Debêntures, de acordo com as datas indicadas na Escritura",Não,Não,Sim
SRE/1058/2025,CVM/SRE/AUT/DEB/PRI/2025/314,Debêntures,"86.000.000,0000","86.000.000,0000",16/04/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,1ª Série,"28.000,0000","1.000,0000","28.000.000,0000","DI + 5,20%",01/04/2025,15/04/2032,Garantia Real,,,Anexo V da Escritura de Emissão,Não,Não,Sim
SRE/1058/2025,CVM/SRE/AUT/DEB/PRI/2025/315,Debêntures,"86.000.000,0000","86.000.000,0000",16/04/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,2ª Série,"35.000,0000","1.000,0000","35.000.000,0000","IPCA + 11,30%",01/04/2025,15/04/2032,Garantia Real,,,Anexo VI da Escritura de Emissão,Sim,Não,Sim
SRE/1058/2025,CVM/SRE/AUT/DEB/PRI/2025/316,Debêntures,"86.000.000,0000","86.000.000,0000",16/04/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,3ª Série,"23.000,0000","1.000,0000","23.000.000,0000","DI + 5,50%",01/04/2025,15/04/2032,Garantia Real,,,Bullet,Não,Não,Sim
SRE/0800/2025,CVM/SRE/AUT/DEB/PRI/2025/313,Debêntures,"500.000.000,0000","500.000.000,0000",16/04/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Série Única,"500.000,0000","1.000,0000","500.000.000,0000","CDI + 0,60%a.a.",15/04/2025,15/04/2032,Quirografária,(bra)AAA pela Moody's,"CDI + 0,60%a.a.","O saldo do Valor Nominal Unitário das Debêntures será pago em 2 (duas) parcelas anuais e consecutivas, sendo o primeiro pagamento devido em 15 de abril de 2031 e o último, na Data de Vencimento.",Não,Não,Sim
SRE/1068/2025,CVM/SRE/AUT/DEB/PRI/2025/312,Debêntures,"800.000.000,0000","0,0000",16/04/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Oferta Encerrada,debêntures,,,,,,,,,,,,,
SRE/0769/2025,CVM/SRE/AUT/DEB/PRI/2025/310,Debêntures,"1.020.000.000,0000","820.000.000,0000",15/04/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,1a Série,"580.000,0000","1.000,0000","580.000.000,0000","CDI+2,90%",15/04/2025,15/10/2034,Quirografária,AA-,"CDI + 2,90%","Amortização customizada, conforme tabela da escritura de emissão",Não,Não,Sim
SRE/0769/2025,CVM/SRE/AUT/DEB/PRI/2025/311,Debêntures,"1.020.000.000,0000","820.000.000,0000",15/04/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,2a Série,"240.000,0000","1.000,0000","240.000.000,0000","IPCA+8,2194%",15/04/2025,15/10/2036,Quirografária,AA-,"IPCA+8,2194%","Amortização Customizada, conforme tabela da escritura de emissão",Sim,Não,Sim
SRE/0867/2025,CVM/SRE/AUT/DEB/PRI/2025/309,Debêntures,"2.000.000.000,0000","2.000.000.000,0000",15/04/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Série Única,"2.000.000,0000","1.000,0000","2.000.000.000,0000","IPCA + 7,4515%a.a.",15/04/2025,15/04/2035,Quirografária,Moody’s Local BR Agência de Classificação de Risco Ltda.,"IPCA + 7,4515% a.a.","Debêntures serão amortizadas em 3 (três) parcelas anuais, sendo que a primeira parcela será devida em 15 de abril de 2033, a segunda em 15 de abril de 2034 e 15 de abril de 2035",Sim,Não,Sim
SRE/0767/2025,CVM/SRE/AUT/DEB/PRI/2025/308,Debêntures,"400.000.000,0000","400.000.000,0000",15/04/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Debêntures,"400.000,0000","1.000,0000","400.000.000,0000","Taxa DI + 0,65% a.a.",15/04/2025,15/04/2030,Garantia Real,Moody's América Latina,"Taxa DI + 0,65% a.a.",Parcelas mensais a partir do 25º mês,Não,Não,Não
SRE/0897/2025,CVM/SRE/AUT/DEB/PRI/2025/307,Debêntures,"150.000.000,0000","150.000.000,0000",15/04/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures,"150.000,0000","1.000,0000","150.000.000,0000","100% da taxa DI + 1,70% a.a.",27/03/2025,27/03/2030,Quirografária,,"100% da Taxa DI + 1,70%","O saldo do Valor Nominal Unitário será amortizado e pago pela Emissora anualmente, após o período de 36 (trinta e seis) meses que se inicia na Data de Emissão e se encerra na primeira Data de Pagamento de Principal (conforme definido abaixo) (“Período de Carência”), sempre no dia 27 de março de cada ano para as Debêntures, em 3 (três) parcelas anuais e consecutivas sendo o primeiro pagamento em 27 de março de 2028 e o último, na Data de Vencimento",Não,Não,Sim
SRE/0999/2025,CVM/SRE/AUT/DEB/PRI/2025/305,Debêntures,"580.000.000,0000","580.000.000,0000",14/04/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,1ª Série,"400.000,0000","1.000,0000","400.000.000,0000","DI + 1,84% a.a.",28/02/2025,28/02/2028,Garantia Real,,"DI + 1,84% a.a.",Bullet,Não,Não,Sim
SRE/0999/2025,CVM/SRE/AUT/DEB/PRI/2025/306,Debêntures,"580.000.000,0000","580.000.000,0000",14/04/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,2ª Série,"180.000,0000","1.000,0000","180.000.000,0000","DI + 1,84% a.a.",28/02/2025,28/02/2028,Garantia Real,,,Bullet,Não,Não,Sim
SRE/0783/2025,CVM/SRE/AUT/DEB/PRI/2025/303,Debêntures,"816.700.000,0000","700.000.000,0000",11/04/2025,OPD Aut Público em Geral ou Qualificado - com bookbuilding,Oferta Encerrada,Debêntures - Série 1,"506.200,0000","1.000,0000","506.200.000,0000","IPCA+11,5593%",15/03/2025,15/03/2032,Garantia Real,,IPCA + 11.5593% ao ano,"anualmente, a partir do 48º (quadragésimo oitavo) mês contado da Data de Emissão, ou seja, a partir de 15 de março de 2029, e a última parcela devida na Data de Vencimento da Primeira Série",Sim,Não,Sim
SRE/0783/2025,CVM/SRE/AUT/DEB/PRI/2025/304,Debêntures,"816.700.000,0000","700.000.000,0000",11/04/2025,OPD Aut Público em Geral ou Qualificado - com bookbuilding,Oferta Encerrada,Debêntures - Série 2,"193.800,0000","1.000,0000","193.800.000,0000","18,5067%",15/03/2025,15/03/2032,Garantia Real,,18.5067% ao ano,"anualmente, a partir do 60º (sexagésimo) mês contado da Data de Emissão, ou seja, a partir de a partir de 15 de março de 2030, e a última parcela devida na Data de Vencimento da Segunda Série",Sim,Não,Sim
SRE/1033/2025,CVM/SRE/AUT/DEB/PRI/2025/302,Debêntures,"200.000.000,0000","200.000.000,0000",11/04/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,"DEBÊNTURES SIMPLES, NÃO CONVERSÍVEIS EM AÇÕES","200.000,0000","1.000,0000","200.000.000,0000","DI + 2,45% a.a.",11/04/2025,11/04/2031,Garantia Real,N/A,"DI + 2,45% a.a.",Trimestralmente a partir do 30º (trigésimo) mês (inclusive),Não,Não,Sim
SRE/0946/2025,CVM/SRE/AUT/DEB/PRI/2025/300,Debêntures,"2.000.000.000,0000","1.895.000.000,0000",10/04/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Primeira Série,"945.500,0000","1.000,0000","1.143.000.000,0000","CDI + 0,64% a.a. (base 252 dias úteis)",10/04/2025,15/04/2030,Quirografária,AAA(bra),"Juros remuneratórios correspondentes a 100% da variação acumulada da Taxa DI, acrescida de spread correspondente a 0,64% ao ano, base 252 Dias Úteis.","Em duas parcelas, conforme Escritura de Emissão.",Não,Não,Sim
SRE/0946/2025,CVM/SRE/AUT/DEB/PRI/2025/301,Debêntures,"2.000.000.000,0000","1.895.000.000,0000",10/04/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Segunda Série,"554.500,0000","1.000,0000","752.000.000,0000","CDI + 0,80% a.a. (base 252 dias úteis)",10/04/2025,15/04/2032,Quirografária,AAA(bra),"Juros remuneratórios correspondentes a 100% da variação acumulada da Taxa DI, acrescida de spread correspondente a 0,80% ao ano, base 252 Dias Úteis.","Em duas parcelas, conforme Escritura de Emissão.",Não,Não,Sim
SRE/0964/2025,CVM/SRE/AUT/DEB/PRI/2025/299,Debêntures,"1.000.000.000,0000","1.000.000.000,0000",09/04/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Debêntures,"1.000.000,0000","1.000,0000","1.000.000.000,0000","100% da Taxa DI + 1,70% ao ano.",02/04/2025,02/04/2030,Quirografária,brAA-,"100% da Taxa DI + 1,70% ao ano.","A amortização do saldo do Valor Nominal Unitário (“Amortização”) será realizada semestralmente, a partir do 36º (trigésimo sexto) mês (inclusive), contado da Data de Emissão, sendo o primeiro pagamento devido em 02 de abril de 2028 (inclusive) e o último na Data de Vencimento.",Não,Não,Sim
SRE/0963/2025,CVM/SRE/AUT/DEB/PRI/2025/297,Debêntures,"700.000.000,0000","700.000.000,0000",08/04/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Debêntures Institucionais - 1ª Série,"300.000,0000","1.000,0000","300.000.000,0000","CDI + 0,80% a.a.",25/03/2025,25/03/2030,Quirografária,"""AA+"" pela Standard & Poor’s Ratings do Brasil Ltda.","CDI + 0,80% a.a.","No vencimento, bullet.",Não,Não,Sim
SRE/0963/2025,CVM/SRE/AUT/DEB/PRI/2025/298,Debêntures,"700.000.000,0000","700.000.000,0000",08/04/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Debêntures Institucionais - 2ª Série,"400.000,0000","1.000,0000","400.000.000,0000","CDI + 0,80% a.a.",26/03/2025,25/03/2031,Quirografária,"""AA+"" pela Standard & Poor’s Ratings do Brasil Ltda.","CDI + 0,80% a.a.","Anual, no 4ª, 5º e 6º ano.",Não,Não,Sim
SRE/0828/2025,CVM/SRE/AUT/DEB/PRI/2025/295,Debêntures,"1.200.000.000,0000","1.200.000.000,0000",08/04/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Debêntures Simples não Conversíveis em Ações,"1.080.000,0000","1.000,0000","1.080.000.000,0000",,28/03/2025,10/04/2031,Quirografária,,"DI + 1,74% ao ano na primeira série.",No vencimento com possibilidade de amortização extraordinária.,Não,Não,Sim
SRE/0828/2025,CVM/SRE/AUT/DEB/PRI/2025/296,Debêntures,"1.200.000.000,0000","1.200.000.000,0000",08/04/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Debêntures Simples não Conversíveis em Ações,"120.000,0000","1.000,0000","120.000.000,0000",,28/03/2025,10/04/2031,Quirografária,,DI + 2% ao ano na segunda série.,No vencimento com possibilidade de amortização extraordinária.,Não,Não,Sim
SRE/0987/2025,CVM/SRE/AUT/DEB/PRI/2025/294,Debêntures,"800.000.000,0000","0,0000",08/04/2025,OPD Aut Profissional - sem bookbuilding,Oferta Encerrada,Debentures,,,,,,,,,,,,,
SRE/0917/2025,CVM/SRE/AUT/DEB/PRI/2025/293,Debêntures,"750.000.000,0000","750.000.000,0000",04/04/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Série Única,"750.000,0000","1.000,0000","750.000.000,0000","DI + 1,30% a.a.",01/04/2025,01/04/2032,Quirografária,N/A,"DI + 1,30% a.a.","O saldo do Valor Nominal Unitário das Debêntures será amortizado em 3 (três) parcelas anuais e consecutivas, a partir do 5º (quinto) ano (inclusive) contado da Data de Emissão, sendo o primeiro pagamento em 01 de abril de 2030 e o último na Data de Vencimento.",Não,Não,Sim
SRE/0691/2025,CVM/SRE/AUT/DEB/PRI/2025/292,Debêntures,"500.000.000,0000","400.000.000,0000",03/04/2025,OPD Aut Profissional - com bookbuilding,Oferta Encerrada,Debêntures em Série Única,"400.000,0000","1.000,0000","400.000.000,0000","CDI + 4,5% ao ano",15/03/2025,15/03/2029,Quirografária,Não haverá,,"O Valor Nominal Unitário ou o saldo do Valor Nominal Unitário das Debêntures, conforme o caso, será amortizado conforme tabela constante do Anexo I da Escritura de Emissão. Os pagamentos ocorrerão mensalmente, observada a carência mínima de 24 meses.",Não,Não,Sim
SRE/0949/2025,CVM/SRE/AUT/DEB/PRI/2025/291,Debêntures,"220.000.000,0000","0,0000",02/04/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debenture,,,,,,,,,,,,,
SRE/0849/2025,CVM/SRE/AUT/DEB/PRI/2025/290,Debêntures,"200.000.000,0000","200.000.000,0000",01/04/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,Debêntures,"200.000,0000","1.000,0000","200.000.000,0000","CDI + 3,50%",27/03/2025,27/03/2029,Quirografária,Não Aplicável,"CDI + 3,50%","Mensal, após carência de 12 meses (inclusive), até a Data de Vencimento.",Não,Não,Sim
SRE/0551/2025,CVM/SRE/AUT/DEB/PRI/2025/289,Debêntures,"85.000.000,0000","85.000.000,0000",01/04/2025,OPD Aut Profissional - com bookbuilding,Registro Concedido,1ª EMISSÃO DE DEBÊNTURES SIMPLES,"85.000,0000","1.000,0000","85.000.000,0000",,15/02/2025,15/02/2029,Garantia Real,n/a.,,"Ocorrerá amortização em 36 (trinta e seis) parcelas mensais iguais e consecutivas, a partir do 13º (décimo terceiro) mês após a Data de Emissão (inclusive), sendo a primeira parcela devida em 15 de março de 2026.",Não,Não,Sim
SRE/0874/2025,CVM/SRE/AUT/DEB/PRI/2025/287,Debêntures,"120.000.000,0000","120.000.000,0000",01/04/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Oferta Encerrada,2ª Emissão de Debêntures Simples - 1a Série,"45.000,0000","1.000,0000","45.000.000,0000",,30/12/2024,30/12/2028,Garantia Real,NA,,"Semestralmente, observado o prazo de carência de 12 (doze) meses, em 7 (sete) parcelas, devidas sempre no dia 30 dos meses de dezembro e junho, a começar em 30 de dezembro de 2025 até 30 de dezembro de 2028",Não,Não,Sim
